name,wins,byes,rank,faction,points,totalhealth,totalmainattack,totalagility,totalupgradecount,totaluselesscount,totaluselesscost,shipcount,handicap,avginitiative,url
Sondre Auestad,0,0,512,rebelalliance,198,21,6,2,14,0,0,2,2,3.5,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z61X125W111W136W137W59W58W165W86W148Y49X70W41W164W107W156&sn=Sondre%20Auestad%20JTO&obs=
Katherine Cr,0,0,512,galacticempire,200,14,8,8,11,0,0,3,0,4.666666666666667,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z203X118W134W101W311WW68W235WY181X124W164WY179X126W165W106&sn=Katherine%20CR%20JTO&obs=
Ryan Burnett,0,0,512,separatistalliance,199,22,11,9,9,0,0,4,1,3.0,https://launch-bay-next.herokuapp.com/print?lbx='Random%20Squad'.199.7.0.(67.608.(1.241)).(67.607.(1.529)).(59.500.(14.297)).(60.504.(12.395).(17.248).(14.298).(1000.531).(15.542).(5.262))
Brendan Morrissey,0,0,512,firstorder,196,26,10,9,6,0,0,4,4,3.25,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z397X126WW102WWWY268XWY281XWW183WWWWW166Y266X126W177W&sn=Brendan%20Morrissey%20JTO&obs=coreasteroid2,coreasteroid5,core2asteroid3"
James Carman,0,0,512,galacticrepublic,200,18,8,10,6,0,0,4,0,4.0,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z323X112WW135Y312X251W241W200WY278XWW200WY332XWWW&sn=Goldnock%20Jank%20James%20Carman%202&obs=gascloud1,gascloud3,gascloud6"
Alex Jean,0,0,512,rebelalliance,196,27,10,8,3,0,0,4,4,3.75,"https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z21XWWW2WY79X118WWWWWY52XWW101Y29XWWWWWW&sn=Alex%20Jean%20JTO&obs=yt2400debris0,yt2400debris1,yt2400debris2"
"Rolando ""roshow"" Garcia",0,0,512,galacticempire,200,26,11,7,8,0,0,4,0,2.5,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z182XWY395X116WW71WY192X114W135W102W98WW317WWY166XWW14WWW&sn=Rolando%20Garcia%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5"
Jon Conley,0,0,512,firstorder,200,22,8,6,12,1,1,3,1,3.0,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z242X256W178W99W182W112W106Y268X177WY289XWW184WW30W13W112W108&sn=Jyico%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5"
Daniel McCarthy,0,0,512,galacticrepublic,196,20,8,5,8,0,0,3,4,3.0,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z280X136W59WWW106Y313X250WW201WY323X113W241W136&sn=Dan%20McCarthy%20JTO&obs=
Nicholas Miller,0,0,512,firstorder,200,16,9,9,5,0,0,3,0,3.0,"https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z286XW234WY381X124WWW166Y386X178WW102&sn=Nick%20Miller%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5"
Kris Erickson,0,0,512,resistance,198,31,9,6,7,0,0,4,2,4.25,"https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z245XW99W173WWWWWY380XW205WW104WW315Y351XW206WWWWW312WY377XWWWWWW&sn=Kris%20Erickson%20(JTO)&obs=gascloud3,gascloud4,gascloud5"
Andrew Symons,0,0,512,resistance,200,27,11,11,4,0,0,5,0,3.8,"https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z239XWW100W206Y377XWWWWWWY380XWWWWWY299XWWW175WWWY350XW186WW&sn=Andrew%20Symons%20JTO&obs=gascloud3,gascloud4,gascloud5"
cody wood,0,0,512,scumandvillainy,199,26,10,8,8,1,1,4,2,3.5,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z85XW137WW80W5WWW108Y122XWWW105WY83XWW13WWW93WW151Y95XWW&sn=Cody%20Wood%20-%20Soontir%20Fel%20-%20JTO&obs=
Kevin Brimage,0,0,512,galacticrepublic,199,18,8,10,8,0,0,4,1,3.75,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z323X240WW135Y333X116WW2W134Y313XW4W200WY274XW2WW&sn=Kevin%20Brimage%20JTO&obs=
Matt Latall,0,0,512,galacticempire,193,23,9,8,10,0,0,4,7,3.25,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z190XW101WWW166Y203XW234WWWW71WWY211X124WW70W165Y164X240W135WWW139WW&sn=Matt%20Latall%20JTO&obs=coreasteroid5,yt2400debris0,yt2400debris1"
Zach Huffines,0,0,512,scumandvillainy,196,27,10,8,8,0,0,4,4,3.25,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z303XY129X125WWWW95W103Y142X206WWWWY126XWW92W93W110W160&sn=Zach%20Huffines%20JTO&obs=
