listid,faction,totalhealth,totalmainattack,totalagility,totalupgradecount,totaluselesscount,totaluselesscost,shipcount,avginitiative,yasb
Bizze#1,galacticempire,31,8,4,7,0,0,3,3.0,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z175XWW311W166Y216X134WWW49WWW106WY166XW11WWWW162&sn=Random%20Squad&obs=
Bizze#2,rebelalliance,25,9,8,8,1,3,4,3.5,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z51XW126WY25XW138WWW249W316W90Y46XW71WWW105WY38XWWWWW140&sn=Random%20Squad&obs=
Bjmorrissey#1,resistance,24,9,8,11,2,6,4,1.75,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z350X126W206W242W249Y349X126W177W192W249Y291X111WWWWWWWY301X127WW178&sn=Random%20Squad&obs=
Bjmorrissey#2,firstorder,26,10,9,6,0,0,4,3.25,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z397X126WW102WW114WY268XWY281XWWWWWWW166Y266X126W177W&sn=Random%20Squad&obs=
Black2710#1,galacticrepublic,30,9,5,5,0,0,4,3.25,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z323XW5W234Y280X134WWWWY366XWWWWWWY360XWW234WWWW105&sn=Random%20Squad&obs=
Black2710#2,separatistalliance,25,13,13,7,1,1,6,3.0,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z343X99W208W106Y325XWW70WWY325XW317WW236WY326XW98WWWY310XWWY354XW&sn=Random%20Squad&obs=
blairbunke#1,rebelalliance,22,11,7,3,0,0,4,4.0,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z58X123WWWY67XWWW137WY55XWWY4XWWWW142&sn=Random%20Squad&obs=
blairbunke#2,firstorder,28,12,13,3,0,0,5,3.0,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z263X115WWY265XWY264XW186WY289XWWWWW11WWY262XWW&sn=Random%20Squad&obs=
blake#1,scumandvillainy,25,10,10,0,0,0,4,4.0,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z82XWWWWWWWY97XWY158XWWWY117XWWWWWWW&sn=Random%20Squad&obs=
blake#2,resistance,24,9,7,9,1,6,4,2.25,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z348X186W245W247Y350XWWWY378XW311WW93W166W109W315Y295XW246WWWWW&sn=Random%20Squad&obs=
BLT25#1,galacticrepublic,28,10,9,4,0,0,5,2.6,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z323XWW134Y331XWWW136Y318X119W100WY364XWWWWWWY323XWW&sn=Random%20Squad&obs=
BLT25#2,firstorder,22,10,7,6,1,1,3,3.0,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z383XW178W311WY281XWWWW37WWW108Y287XWW135W102&sn=Random%20Squad&obs=
bluerook17#1,firstorder,19,10,12,6,0,0,4,2.5,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z383X133W206WWY237X115W206WWY269XW165Y290X206W&sn=Random%20Squad&obs=
bluerook17#2,rebelalliance,24,12,14,3,0,0,5,3.0,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z23XWWW4WY16X109Y51XWWY31XWWWWW140Y15X&sn=Random%20Squad&obs=
Bluetricycle#1,scumandvillainy,28,10,8,4,0,0,4,2.25,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z128X37W93W94W166WY143XWWWWY86XWWWWWWWY151XWWW&sn=Random%20Squad&obs=
Bluetricycle#2,galacticrepublic,22,7,4,10,1,3,3,4.333333333333333,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z359X251W137W135W76W226WW249Y360X123W137WWW233WWY274XWW201W&sn=Random%20Squad&obs=
